symbol,name,category
PAYTM,One 97 Communications Ltd,midcap
SCHNEIDER,Schneider Electric Infrastructure Limited,midcap
NAUKRI,Info Edge (india) Limited,midcap
MCX,Multi Commodity Exchange Of India Limited,midcap
LENSKART,Lenskart Solutions Ltd,midcap
HSCL,Himadri Speciality Chemical Limited,midcap
GLAND,Gland Pharma Ltd,midcap
APLAPOLLO,Apl Apollo Tubes Limited,midcap
JSWENERGY,Jsw Energy Limited,midcap
MAZDOCK,Mazagon Dock Shipbuilders Ltd,midcap
BALKRISIND,Balkrishna Industries Limited,midcap
OIL,Oil India Limited,midcap
ENDURANCE,Endurance Technologies Limited,midcap
BERGEPAINT,Berger Paints (i) Limited,midcap
PHOENIXLTD,The Phoenix Mills Limited,midcap
COFORGE,Coforge (Niit Tech) Ltd,midcap
GODREJPROP,Godrej Properties Limited,midcap
JSWINFRA,JSW Infrastructure Ltd,midcap
HDBFS,HDB Financial Services Ltd,midcap
POLICYBZR,PB Fintech Ltd,midcap
LTF,L&T Finance Ltd,midcap
TIINDIA,Tube Investments of India Ltd,midcap
CPPLUS,Aditya Infotech Ltd,midcap
ANANDRATHI,Anand Rathi Wealth Ltd,midcap
ANTHEM,Anthem Biosciences Ltd,midcap
MEDANTA,Global Health Ltd,midcap
COROMANDEL,Coromandel International Limited,midcap
MOTILALOFS,Motilal Oswal Financial Services Limited,midcap
MPHASIS,Mphasis Limited,midcap
BDL,Bharat Dynamics Ltd,midcap
MANIPALHOS,Manipal Health Enterprises Ltd,midcap
MFSL,Max Financial Services Limited,midcap
RADICO,Radico Khaitan Limited,midcap
KEI,Kei Industries Limited,midcap
DELHIVERY,Delhivery Ltd,midcap
KIMS,Krishna Institute of Medical Sciences Ltd,midcap
DABUR,Dabur India Limited,midcap
OBEROIRLTY,Oberoi Realty Limited,midcap
DALBHARAT,Dalmia Bharat Limited,midcap
M&MFIN,Mahindra & Mahindra Financial Services Limited,midcap
STARHEALTH,Star Health & Allied Insurance Company Ltd,midcap
KPRMILL,K.p.r. Mill Limited,midcap
EMCURE,Emcure Pharmaceuticals Ltd,midcap
MAHABANK,Bank Of Maharashtra Ltd,midcap
TATATECH,Tata Technologies Ltd,midcap
OFSS,Oracle Financial Services Software Limited,midcap
MANAPPURAM,Manappuram Finance Limited,midcap
NMDC,Nmdc Limited,midcap
360ONE,360 ONE WAM Ltd,midcap
ICICIGI,ICICI Lombard General Insurance Company Ltd,midcap
FEDERALBNK,The Federal Bank  Limited,midcap
IDFCFIRSTB,IDFC First Bank Ltd,midcap
LAURUSLABS,Laurus Labs Limited,midcap
INDUSINDBK,Indusind Bank Limited,midcap
WELCORP,Welspun Corp Limited,midcap
NATIONALUM,National Aluminium Company Limited,midcap
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,midcap
NTPCGREEN,NTPC Green Energy Ltd,midcap
ATGL,Adani Total Gas Ltd,midcap
NHPC,Nhpc Limited,midcap
MEESHO,Meesho Ltd,midcap
RBLBANK,Rbl Bank Limited,midcap
PRESTIGE,Prestige Estates Projects Limited,midcap
YESBANK,Yes Bank Limited,midcap
UNOMINDA,Uno Minda Ltd,midcap
CUPID,Cupid Limited,midcap
IREDA,Indian Renewable Energy Development Agency Ltd,midcap
GODFRYPHLP,Godfrey Phillips India Limited,midcap
AUBANK,AU Small Finance Bank Ltd,midcap
HINDPETRO,Hindustan Petroleum Corporation Limited,midcap
PERSISTENT,Persistent Systems Limited,midcap
BIOCON,Biocon Limited,midcap
MAXHEALTH,Max Healthcare Institute Ltd,midcap
VMM,Vishal Mega Mart Ltd,midcap
NAM-INDIA,Nippon Life India Asset Management Ltd,midcap
SRF,Srf Limited,midcap
PETRONET,Petronet Lng Limited,midcap
HAVELLS,Havells India Limited,midcap
JSL,Jindal Stainless Limited,midcap
ICICIPRULI,Icici Prudential Life Insurance Company Limited,midcap
ASTERDM,Aster DM Healthcare Ltd,midcap
PREMIERENE,Premier Energies Ltd,midcap
INDHOTEL,The Indian Hotels Company Limited,midcap
ASTRAL,Astral Ltd,midcap
COLPAL,Colgate Palmolive (india) Limited,midcap
TORNTPOWER,Torrent Power Limited,midcap
WAAREEENER,Waaree Energies Ltd,midcap
DIXON,Dixon Technologies Ltd,midcap
AUROPHARMA,Aurobindo Pharma Limited,midcap
SBICARD,SBI Cards & Payment Services Ltd,midcap
SWIGGY,Swiggy Ltd,midcap
CONCOR,Container Corporation Of India Limited,midcap
SONACOMS,Sona BLW Precision Forgings Ltd,midcap
POONAWALLA,Poonawalla Fincorp Ltd,midcap
PATANJALI,Patanjali Foods Ltd,midcap
HUDCO,Housing and Urban Development Corporation Ltd,midcap
MANKIND,Mankind Pharma Ltd,midcap
PIIND,Pi Industries Limited,midcap
TATAINVEST,Tata Investment Corporation Limited,midcap
BAJAJHFL,Bajaj Housing Finance Ltd,midcap
NAVINFLUOR,Navin Fluorine International Limited,midcap
TATACOMM,Tata Communications Limited,midcap
EXIDEIND,Exide Industries Limited,midcap
KALYANKJIL,Kalyan Jewellers India Ltd,midcap
ATHERENERG,Ather Energy Ltd,midcap
ITCHOTELS,ITC Hotels Ltd,midcap
FORTIS,Fortis Healthcare Limited,midcap
UPL,Upl Limited,midcap
APARINDS,Apar Industries Limited,midcap
IOB,Indian Overseas Bank Ltd,midcap
DRREDDY,Dr. Reddy's Laboratories Limited,midcap
COCHINSHIP,Cochin Shipyard Ltd,midcap
RVNL,Rail Vikas Nigam Ltd,midcap
GLENMARK,Glenmark Pharmaceuticals Limited,midcap
GICRE,General Insurance Corporation of India Ltd,midcap
VOLTAS,Voltas Limited,midcap
SUZLON,Suzlon Energy Limited,midcap
IDBI,Idbi Bank Limited,midcap
GODREJCP,Godrej Consumer Products Limited,midcap
AIIL,Authum Investment & Infrastructure Ltd,midcap
LGEINDIA,LG Electronics India Ltd,midcap
HINDCOPPER,Hindustan Copper Limited,midcap
ASHOKLEY,Ashok Leyland Limited,midcap
BHARTIHEXA,Bharti Hexacom Ltd,midcap
SAIL,Steel Authority Of India Limited,midcap
NYKAA,FSN E-Commerce Ventures Ltd,midcap
NH,Narayana Hrudayalaya Ltd.,midcap
LUPIN,Lupin Limited,midcap
AEGISLOG,Aegis Logistics Ltd,midcap
BANKINDIA,Bank Of India Ltd,midcap
IPCALAB,Ipca Laboratories Limited,midcap
PWL,Physicswallah Ltd,midcap
JBCHEPHARM,Jb Chemicals & Pharmaceuticals Limited,midcap
INDOMIM,Indo-MIM Ltd,midcap
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),midcap
NLCINDIA,Nlc India Limited,midcap
RECLTD,REC Ltd,midcap
BHARATFORG,Bharat Forge Limited,midcap
KPL,Kwality Pharmaceuticals Ltd,smallcap
UNIVCABLES,Universal Cables Limited,smallcap
SBCL,Shivalik Bimetal Controls Ltd,smallcap
AARTIPHARM,Aarti Pharmalabs Ltd,smallcap
COMSYN,Commercial Syn Bags Ltd,smallcap
PIXTRANS,Pix Transmission Ltd,smallcap
KABRAEXTRU,Kabra Extrusion Technik Limited,smallcap
VOGL,Vedanta Oil and Gas Ltd,smallcap
ANDHRSUGAR,The Andhra Sugars Limited,smallcap
ESTER,Ester Industries Limited,smallcap
DMCC,DMCC Speciality Chemicals Ltd,smallcap
JGCHEM,J.G.Chemicals Ltd,smallcap
RAMCOIND,Ramco Industries Limited,smallcap
MOL,Meghmani Organics Ltd,smallcap
THOMASCOTT,Thomas Scott (india) Limited,smallcap
SUDEEPPHRM,Sudeep Pharma Ltd,smallcap
TREL,TransIndia Real Estate Ltd,smallcap
SIMPLEXINF,Simplex Infrastructures Limited,smallcap
EMIL,Electronics Mart India Ltd,smallcap
GNRL,Gujarat Natural Resources Ltd,smallcap
VINDHYATEL,Vindhya Telelinks Limited,smallcap
MACPOWER,Macpower CNC Machines Ltd,smallcap
SKYGOLD,Sky Gold Ltd,smallcap
GARUDA,Garuda Construction and Engineering Ltd,smallcap
ORCHPHARMA,Orchid Pharma Ltd,smallcap
KAPSTON,Kapston Services Ltd,smallcap
NEOGEN,Neogen Chemicals Ltd,smallcap
INDOBORAX,Indo Borax & Chemicals Ltd,smallcap
SHAILY,Shaily Engineering Plastics Ltd,smallcap
SYRMA,Syrma SGS Technology Ltd,smallcap
SURAKSHA,Suraksha Diagnostic Ltd,smallcap
SHILPAMED,Shilpa Medicare Limited,smallcap
SKMEGGPROD,Skm Egg Products Export (india) Limited,smallcap
MAXESTATES,Max Estates Ltd,smallcap
SENORES,Senores Pharmaceuticals Ltd,smallcap
HCG,Healthcare Global Enterprises Limited,smallcap
DHARMAJ,Dharmaj Crop Guard Ltd,smallcap
ENTERO,Entero Healthcare Solutions Ltd,smallcap
CARYSIL,Carysil Ltd,smallcap
POLYPLEX,Polyplex Corporation Limited,smallcap
EBGNG,GNG Electronics Ltd,smallcap
AVADHSUGAR,Avadh Sugar & Energy,smallcap
DHAMPURSUG,Dhampur Sugar Mills Limited,smallcap
PDSL,PDS Ltd,smallcap
DVL,Dhunseri Ventures Ltd,smallcap
INDOSTAR,Indostar Capital Finance Ltd,smallcap
BALAJITELE,Balaji Telefilms Limited,smallcap
MARINE,Marine Electricals (India) Ltd,smallcap
BEML,Beml Limited,smallcap
MMP,MMP Industries Ltd,smallcap
SUMICHEM,Sumitomo Chemical India Ltd,smallcap
DYCL,Dynamic Cables Ltd,smallcap
HINDOILEXP,Hindustan Oil Exploration Company Limited,smallcap
3IINFOLTD,3i Infotech Ltd,smallcap
RISHABH,Rishabh Instruments Ltd,smallcap
NELCO,Nelco Limited,smallcap
QPOWER,Quality Power Electrical Equipments Ltd,smallcap
BIRLACABLE,Birla Cable Limited,smallcap
XTRANET,Xtranet Technologies Ltd,smallcap
VISL,Vedanta Iron & Steel Ltd,smallcap
RAMCOSYS,Ramco Systems Limited,smallcap
STYLEBAAZA,Baazar Style Retail Ltd,smallcap
LANDMARK,Landmark Cars Ltd,smallcap
MCLEODRUSS,Mcleod Russel India Limited,smallcap
PINELABS,Pine Labs Ltd,smallcap
VISAKAIND,Visaka Industries Limited,smallcap
CEMPRO,Cemindia Projects Ltd,smallcap
PANAMAPET,Panama Petrochem Limited,smallcap
E2E,E2E Networks Ltd,smallcap
SANGHVIMOV,Sanghvi Movers Limited,smallcap
PRECWIRE,Precision Wires India Limited,smallcap
RAMBHAJO,Advit Jewels Ltd,smallcap
AKUMS,Akums Drugs & Pharmaceuticals Ltd,smallcap
POLYMED,Poly Medicure Limited,smallcap
KECL,Kirloskar Electric Company Limited,smallcap
MMFL,Mm Forgings Limited,smallcap
PASUPTAC,Pasupati Acrylon Ltd,smallcap
5PAISA,5Paisa Capital Ltd,smallcap
RPEL,Raghav Productivity Enhancers Ltd,smallcap
SAILIFE,Sai Life Sciences Ltd,smallcap
JAIBALAJI,Jai Balaji Industries Limited,smallcap
SUVEN,Suven Life Sciences Limited,smallcap
CENTRUM,Centrum Capital Ltd,smallcap
BRIGADE,Brigade Enterprises Limited,smallcap
AYE,Aye Finance Ltd,smallcap
SAMBHV,Sambhv Steel Tubes Ltd,smallcap
GIPCL,Gujarat Industries Power Company Limited,smallcap
ABDL,Allied Blenders & Distillers Ltd,smallcap
SSWL,Steel Strips Wheels Limited,smallcap
TRIVENI,Triveni Engineering & Industries Limited,smallcap
QUESS,Quess Corp Limited,smallcap
MBAPL,Madhya Bharat Agro Products Ltd,smallcap
CONCORDBIO,Concord Biotech Ltd,smallcap
BECTORFOOD,Mrs Bectors Food Specialities Ltd,smallcap
NPST,Network People Services Technologies Ltd,smallcap
WEL,Wonder Electricals Ltd,smallcap
COSMOFIRST,Cosmo First Ltd,smallcap
INDSWFTLAB,Ind-swift Laboratories Limited,smallcap
KOLTEPATIL,Kolte - Patil Developers Limited,smallcap
IONEXCHANG,Ion Exchange (India) Ltd,smallcap
SILVERTUC,Silver Touch Technologies Ltd,smallcap
NRBBEARING,Nrb Bearing Limited,smallcap
DALMIASUG,Dalmia Bharat Sugar And Industries Limited,smallcap
HUHTAMAKI,Huhtamaki India Ltd,smallcap
EMBDL,Embassy Development Limited,smallcap
GMDCLTD,Gujarat Mineral Development Corporation Limited,smallcap
SEDEMAC,Sedemac Mechatronics Ltd,smallcap
PICCADIL,Piccadily Agro Industries Ltd,smallcap
DWARKESH,Dwarikesh Sugar Industries Limited,smallcap
BALRAMCHIN,Balrampur Chini Mills Limited,smallcap
SPECIALITY,Speciality Restaurants Limited,smallcap
SURAJEST,Suraj Estate Developers Ltd,smallcap
IXIGO,Le Travenues Technology Ltd,smallcap
ALIVUS,Alivus Life Sciences Ltd,smallcap
KNACK,Knack Packaging Ltd,smallcap
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Ltd,smallcap
PATELENG,Patel Engineering Limited,smallcap
CSM,CSM Technologies Ltd,smallcap
UGARSUGAR,The Ugar Sugar Works Limited,smallcap
JUBLPHARMA,Jubilant Pharmova Ltd,smallcap
NORTHARC,Northern ARC Capital Ltd,smallcap
FINCABLES,Finolex Cables Limited,smallcap
RATNAMANI,Ratnamani Metals & Tubes Limited,smallcap
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,smallcap
ASKAUTOLTD,ASK Automotive Ltd,smallcap
KIRLPNU,Kirloskar Pneumatic Company Ltd,smallcap
TURTLEMINT,Turtlemint Fintech Solutions Ltd,smallcap
MOBIKWIK,One Mobikwik Systems Ltd,smallcap
ELECTCAST,Electrosteel Castings Limited,smallcap
TIPSMUSIC,Tips Music Ltd,smallcap
THYROCARE,Thyrocare Technologies Limited,smallcap
SAIPARENT,Sai Parenterals Ltd,smallcap
VESUVIUS,Vesuvius India Limited,smallcap
MAHSEAMLES,Maharashtra Seamless Limited,smallcap
ARIS,Arisinfra Solutions Ltd,smallcap
VIJAYA,Vijaya Diagnostic Centre Ltd,smallcap
ENGINERSIN,Engineers India Limited,smallcap
SPAL,S. P. Apparels Limited,smallcap
TANLA,Tanla Solutions Limited,smallcap
RITCO,Ritco Logistics Ltd,smallcap
GRAVITA,Gravita India Limited,smallcap
SHRIRAMPPS,Shriram Properties Ltd,smallcap
VEDPOWER,Vedanta Power Ltd,smallcap
NIITMTS,NIIT Learning Systems Ltd,smallcap
EUROPRATIK,Euro Pratik Sales Ltd,smallcap
SUNDRMFAST,Sundram Fasteners Limited,smallcap
JINDALSAW,Jindal Saw Limited,smallcap
SIGNATURE,SignatureGlobal India Ltd,smallcap
RUBICON,Rubicon Research Ltd,smallcap
IFCI,Ifci Limited,smallcap
GUFICBIO,Gufic Biosciences Limited,smallcap
KRISHANA,Krishana Phoschem Ltd,smallcap
GATEWAY,Gateway Distriparks Ltd,smallcap
WALCHANNAG,Walchandnagar Industries Limited,smallcap
AGARWALEYE,Dr Agarwals Health Care Ltd,smallcap
INDRAMEDCO,Indraprastha Medical Corporation Limited,smallcap
DBOL,Dhampur Bio Organics Ltd,smallcap
SHADOWFAX,Shadowfax Technologies Ltd,smallcap
INDGN,Indegene Ltd,smallcap
SENCO,Senco Gold Ltd,smallcap
JNKINDIA,JNK India Ltd,smallcap
CSBBANK,CSB Bank Ltd,smallcap
VIDYAWIRES,Vidya Wires Ltd,smallcap
RHIM,RHI Magnesita India Ltd,smallcap
MUKKA,Mukka Proteins Ltd,smallcap
FISCHER,Fischer Medical Ventures Ltd,smallcap
TI,Tilaknagar Industries Limited,smallcap
KRONOX,Kronox Lab Sciences Ltd,smallcap
LASERPOWER,Laser Power & Infra Ltd,smallcap
KSB,KSB Ltd,smallcap
BLS,Bls International Services Limited,smallcap
VASCONEQ,Vascon Engineers Limited,smallcap
JAYKAY,Jaykay Enterprises Ltd,smallcap
AZAD,Azad Engineering Ltd,smallcap
GODREJAGRO,Godrej Agrovet Ltd,smallcap
APEX,Apex Frozen Foods Ltd,smallcap
HFCL,HFCL Ltd,smallcap
ACI,Archean Chemical Industries Ltd,smallcap
AAVAS,AAVAS Financiers Ltd,smallcap
UTTAMSUGAR,Uttam Sugar Mills Limited,smallcap
TCI,Transport Corporation Of India Limited,smallcap
NDRAUTO,NDR Auto Components Ltd,smallcap
AURUM,Aurum Proptech Ltd,smallcap
IIFL,IIFL Finance Ltd,smallcap
SOLARA,Solara Active Pharma Sciences Ltd,smallcap
QUADFUTURE,Quadrant Future Tek Ltd,smallcap
IRISDOREME,Iris Clothings Ltd,smallcap
CMSINFO,CMS Info Systems Ltd,smallcap
UTLSOLAR,Fujiyama Power Systems Ltd,smallcap
GOCOLORS,Go Fashion (India) Ltd,smallcap
NEWGEN,Newgen Software Technologies Ltd,smallcap
SDBL,Som Distilleries & Breweries Limited,smallcap
CARBORUNIV,Carborundum Universal Limited,smallcap
GNA,Gna Axles Limited,smallcap
JYOTICNC,Jyoti CNC Automation Ltd,smallcap
SKIPPER,Skipper Limited,smallcap
MAHLOG,Mahindra Logistics Ltd,smallcap
GAEL,Gujarat Ambuja Exports Limited,smallcap
RAMCOCEM,The Ramco Cements Limited,smallcap
NAHARINDUS,Nahar Industrial Enterprises Limited,smallcap
KIRLOSBROS,Kirloskar Brothers Limited,smallcap
SAREGAMA,Saregama India Limited,smallcap
FCL,Fineotex Chemical Limited,smallcap
CUB,City Union Bank Limited,smallcap
BEPL,Bhansali Engineering Polymers Limited,smallcap
MUTHOOTMF,Muthoot Microfin Ltd,smallcap
HUBTOWN,Hubtown Limited,smallcap
MOIL,Moil Limited,smallcap
JTEKTINDIA,JTEKT India Ltd,smallcap
EPACKPEB,EPack Prefab Technologies Ltd,smallcap
MINDACORP,Minda Corporation Limited,smallcap
LAOPALA,La Opala Rg Limited,smallcap
RAYMOND,Raymond Limited,smallcap
PPLPHARMA,Piramal Pharma Ltd,smallcap
CAPLIPOINT,Caplin Point Laboratories Limited,smallcap
KNRCON,Knr Constructions Limited,smallcap
BLUESTONE,Bluestone Jewellery and Lifestyle Ltd,smallcap
PRABHA,Prabha Energy Ltd,smallcap
EPL,EPL Ltd,smallcap
NSLNISP,NMDC Steel Ltd,smallcap
BELRISE,Belrise Industries Ltd,smallcap
PAISALO,Paisalo Digital Ltd,smallcap
VARROC,Varroc Engineering Ltd,smallcap
GRAPHITE,Graphite India Limited,smallcap
IVALUE,Ivalue Infosolutions Ltd,smallcap
CONFIPET,Confidence Petroleum India Ltd,smallcap
BAJAJCON,Bajaj Consumer Care Ltd,smallcap
ACE,Action Construction Equipment Limited,smallcap
BBOX,Black Box Ltd,smallcap
JUBLFOOD,Jubilant Foodworks Limited,smallcap
SHANTIGOLD,Shanti Gold International Ltd,smallcap
FILATEX,Filatex India Limited,smallcap
METROPOLIS,Metropolis Healthcare Ltd,smallcap
JASH,Jash Engineering Ltd,smallcap
FINOPB,Fino Payments Bank Ltd,smallcap
EKC,Everest Kanto Cylinder Limited,smallcap
TMB,Tamilnad Mercantile Bank Ltd,smallcap
KROSS,Kross Ltd,smallcap
GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited,smallcap
HLEGLAS,HLE Glascoat Ltd,smallcap
INDIQUBE,Indiqube Spaces Ltd,smallcap
INDIAMART,Indiamart Intermesh Ltd,smallcap
TEJASNET,Tejas Networks Ltd,smallcap
MANYAVAR,Vedant Fashions Ltd,smallcap
KANSAINER,Kansai Nerolac Paints Limited,smallcap
EMMVEE,Emmvee Photovoltaic Power Ltd,smallcap
ONIDA,Onida Electronics Ltd,smallcap
AARTIDRUGS,Aarti Drugs Limited,smallcap
PLATIND,Platinum Industries Ltd,smallcap
INOXINDIA,Inox India Ltd,smallcap
KAJARIACER,Kajaria Ceramics Limited,smallcap
THOMASCOOK,Thomas Cook  (india)  Limited,smallcap
JKPAPER,Jk Paper Limited,smallcap
HARSHA,Harsha Engineers International Ltd,smallcap
RSL,Rajputana Stainless Ltd,smallcap
UGROCAP,Ugro Capital Ltd,smallcap
SUPRAJIT,Suprajit Engineering Limited,smallcap
VIPIND,Vip Industries Limited,smallcap
STOVEKRAFT,Stove Kraft Ltd,smallcap
HEG,Heg Limited,smallcap
DEEPINDS,Deep Industries Ltd,smallcap
THANGAMAYL,Thangamayil Jewellery Limited,smallcap
SHK,S H Kelkar And Company Limited,smallcap
NIACL,New India Assurance Company Ltd,smallcap
ROUTE,Route Mobile Ltd,smallcap
STYL,Seshaasai Technologies Ltd,smallcap
NIITLTD,Niit Limited,smallcap
RKFORGE,Ramkrishna Forgings Limited,smallcap
LXCHEM,Laxmi Organic Industries Ltd,smallcap
REFEX,Refex Industries Limited,smallcap
DHANBANK,Dhanlaxmi Bank Limited,smallcap
APCOTEXIND,Apcotex Industries Limited,smallcap
BLSE,BLS E-Services Ltd,smallcap
ITI,Iti Limited,smallcap
VIKRAN,Vikran Engineering Ltd,smallcap
ARVSMART,Arvind Smartspaces Limited,smallcap
VRLLOG,Vrl Logistics Limited,smallcap
UTIAMC,UTI Asset Management Company Ltd,smallcap
UNIPARTS,Uniparts India Ltd,smallcap
TIMEX,Timex Group India Ltd,smallcap
ADFFOODS,Adf Foods Limited,smallcap
PREMEXPLN,Premier Explosives Limited,smallcap
DCW,Dcw Limited,smallcap
RENUKA,Shree Renuka Sugars Limited,smallcap
MASTERTR,Master Trust Ltd,smallcap
DOLATALGO,Dolat Algotech Ltd,smallcap
RHETAN,Rhetan TMT Ltd,smallcap
TRANSRAILL,Transrail Lighting Ltd,smallcap
PRAKASH,Prakash Industries Limited,smallcap
LALPATHLAB,Dr. Lal Path Labs Ltd.,smallcap
EIEL,Enviro Infra Engineers Ltd,smallcap
XCHANGING,Xchanging Solutions Limited,smallcap
DATAPATTNS,Data Patterns (India) Ltd,smallcap
TBZ,Tribhovandas Bhimji Zaveri Limited,smallcap
CANFINHOME,Can Fin Homes Limited,smallcap
MUFTI,Credo Brands Marketing Ltd,smallcap
CLEAN,Clean Science & Technology Ltd,smallcap
HAPPYFORGE,Happy Forgings Ltd,smallcap
NAVKARCORP,Navkar Corporation Limited,smallcap
BCLIND,BCL Industries Ltd,smallcap
PENIND,Pennar Industries Limited,smallcap
SETL,Standard Enginnering Technology Ltd,smallcap
TIMETECHNO,Time Technoplast Limited,smallcap
VENUSPIPES,Venus Pipes & Tubes Ltd,smallcap
ANGELONE,Angel One Ltd,smallcap
AVL,Aditya Vision Ltd,smallcap
SIGACHI,Sigachi Industries Ltd,smallcap
CGCL,Capri Global Capital Limited,smallcap
LUMAXTECH,Lumax Auto Technologies Limited,smallcap
INTELLECT,Intellect Design Arena Limited,smallcap
PNGSREVA,PNGS Reva Diamond Jewellery Limited,smallcap
CYIENTDLM,Cyient DLM Ltd,smallcap
RATNAVEER,Ratnaveer Precision Engineering Ltd,smallcap
DIVGIITTS,Divgi Torqtransfer Systems Ltd,smallcap
ADSL,Allied Digital Services Limited,smallcap
GEOJITFSL,Geojit Financial Services Ltd,smallcap
WABAG,Va Tech Wabag Limited,smallcap
BALAMINES,Balaji Amines Limited,smallcap
PRAJIND,Praj Industries Limited,smallcap
RAILTEL,Railtel Corporation of India Ltd,smallcap
DENTA,Denta Water & Infra Solutions Ltd,smallcap
EPACK,Epack Durable Ltd,smallcap
NFL,National Fertilizers Limited,smallcap
DELTACORP,Delta Corp Limited,smallcap
STLNETWORK,STL Networks Ltd,smallcap
SIRCA,Sirca Paints India Ltd,smallcap
TATAELXSI,Tata Elxsi Limited,smallcap
CASTROLIND,Castrol India Limited,smallcap
POWERICA,Powerica Ltd,smallcap
JUNIPER,Juniper Hotels Ltd,smallcap
GMMPFAUDLR,GMM Pfaudler Ltd,smallcap
MONARCH,Monarch Networth Capital Ltd,smallcap
SONATSOFTW,Sonata Software Limited,smallcap
JUSTDIAL,Just Dial Limited,smallcap
FIVESTAR,Five-Star Business Finance Ltd,smallcap
NAZARA,Nazara Technologies Ltd,smallcap
NCC,Ncc Limited,smallcap
